title	question	context	answer	linkki
tiktok	Kuka vierailee Washingtonissa?	Yhdysvaltain hallinto on vaatinut kiinalaista Bytedancea luopumaan sosiaalisen median palvelu Tiktokin omistajuudesta. \n Mikäli sovellusta ei myytäisi, Yhdysvallat uhkaa sovelluksen asetettavan maassa täyskieltoon. Tiktokin toimitusjohtaja Shou Zi Chew vierailee Washingtonissa keskustelemassa asiasta. \n – Omistajuuden vaihdos ei helpottaisi asiaa tietoturvan osalta tai muuttaisi datan käyttöä, Tiktokin edustaja Maureen Shanahan totesi yhtiön tiedotteessa. \n Washington Postin mukaan tiedossa on todennäköisesti kaikkien aikojen grillaus, jossa lainsäätäjät kiistelevät Capitol Hillillä 150 miljoonan amerikkalaisen käyttämän sovelluksen luotettavuudesta. \n Myös entinen presidentti Donald Trump totesi hallintokautenaan aikeistaan kieltää sovelluksen käytön Yhdysvalloissa, jollei kiinalaisomistuksista luovuttaisi. Näin ei kuitenkaan lopulta käynyt.	Shou Zi Chew	
tiktok	Kuka halusi aikaisemmin kieltää sovelluksen käytön Yhdysvalloisas?	Yhdysvaltain hallinto on vaatinut kiinalaista Bytedancea luopumaan sosiaalisen median palvelu Tiktokin omistajuudesta. \n Mikäli sovellusta ei myytäisi, Yhdysvallat uhkaa sovelluksen asetettavan maassa täyskieltoon. Tiktokin toimitusjohtaja Shou Zi Chew vierailee Washingtonissa keskustelemassa asiasta. \n – Omistajuuden vaihdos ei helpottaisi asiaa tietoturvan osalta tai muuttaisi datan käyttöä, Tiktokin edustaja Maureen Shanahan totesi yhtiön tiedotteessa. \n Washington Postin mukaan tiedossa on todennäköisesti kaikkien aikojen grillaus, jossa lainsäätäjät kiistelevät Capitol Hillillä 150 miljoonan amerikkalaisen käyttämän sovelluksen luotettavuudesta. \n Myös entinen presidentti Donald Trump totesi hallintokautenaan aikeistaan kieltää sovelluksen käytön Yhdysvalloissa, jollei kiinalaisomistuksista luovuttaisi. Näin ei kuitenkaan lopulta käynyt.	Donald Trump	
magic	Milloin sarja julkaistaan?	Hasbron omistama Magic the Gathering -keräilykorttipeli on saamassa uuden Taru Sormusten Herrasta -teemaisen sarjan. Sarja julkaistaan 23. kesäkuuta. \n Sarjan arvokkaimmasta kortista, erikoisprintatusta mahtisormuksesta (The One Ring), on povattu keräilykorttipelin arvokkainta korttia. Asiasta kertoi The Verge -verkkojulkaisu. Kyseistä erikoiskuvitettua kortin versiota tullaan julkaisemaan ainoastaan yksi kappale. Siihen on kultakirjaimilla merkitty luvut 001/001 todistamaan, että tämä on se ainoa laatuaan. \n Koska kortti on vasta tulossa myyntiin, ei kukaan vielä tiedä, miten arvokkaaksi se lopulta osoittautuu. Jotain tulevan kortin hinnasta voi päätellä siitä, että yksittäinen Magic the Gathering -keräilijä on jo julkisesti luvannut maksaa 100 000 dollaria kortista, jos sen korttiboosterista löytävä vain suostuu hänelle myymään. Kortin arvo voi olla huomattavasti korkeampikin, sillä esimerkiksi keräilykorttimarkkinaa seuraava Cool Stuff ennustaa sen olevan ensimmäinen MTG-kortti, joka ylittää miljoonan dollarin hintarajan.	23. kesäkuuta	https://www.iltalehti.fi/pelitjaesports/a/b48e8935-418b-4d45-91f5-f2cd6cff00b5
magic	Montako erikoiskuvitettua korttia tullaan valmistamaan?	Hasbron omistama Magic the Gathering -keräilykorttipeli on saamassa uuden Taru Sormusten Herrasta -teemaisen sarjan. Sarja julkaistaan 23. kesäkuuta. \n Sarjan arvokkaimmasta kortista, erikoisprintatusta mahtisormuksesta (The One Ring), on povattu keräilykorttipelin arvokkainta korttia. Asiasta kertoi The Verge -verkkojulkaisu. Kyseistä erikoiskuvitettua kortin versiota tullaan julkaisemaan ainoastaan yksi kappale. Siihen on kultakirjaimilla merkitty luvut 001/001 todistamaan, että tämä on se ainoa laatuaan. \n Koska kortti on vasta tulossa myyntiin, ei kukaan vielä tiedä, miten arvokkaaksi se lopulta osoittautuu. Jotain tulevan kortin hinnasta voi päätellä siitä, että yksittäinen Magic the Gathering -keräilijä on jo julkisesti luvannut maksaa 100 000 dollaria kortista, jos sen korttiboosterista löytävä vain suostuu hänelle myymään. Kortin arvo voi olla huomattavasti korkeampikin, sillä esimerkiksi keräilykorttimarkkinaa seuraava Cool Stuff ennustaa sen olevan ensimmäinen MTG-kortti, joka ylittää miljoonan dollarin hintarajan.	yksi	
magic	Kuinka arvokas kortti saattaa olla?	Hasbron omistama Magic the Gathering -keräilykorttipeli on saamassa uuden Taru Sormusten Herrasta -teemaisen sarjan. Sarja julkaistaan 23. kesäkuuta. \n Sarjan arvokkaimmasta kortista, erikoisprintatusta mahtisormuksesta (The One Ring), on povattu keräilykorttipelin arvokkainta korttia. Asiasta kertoi The Verge -verkkojulkaisu. Kyseistä erikoiskuvitettua kortin versiota tullaan julkaisemaan ainoastaan yksi kappale. Siihen on kultakirjaimilla merkitty luvut 001/001 todistamaan, että tämä on se ainoa laatuaan. \n Koska kortti on vasta tulossa myyntiin, ei kukaan vielä tiedä, miten arvokkaaksi se lopulta osoittautuu. Jotain tulevan kortin hinnasta voi päätellä siitä, että yksittäinen Magic the Gathering -keräilijä on jo julkisesti luvannut maksaa 100 000 dollaria kortista, jos sen korttiboosterista löytävä vain suostuu hänelle myymään. Kortin arvo voi olla huomattavasti korkeampikin, sillä esimerkiksi keräilykorttimarkkinaa seuraava Cool Stuff ennustaa sen olevan ensimmäinen MTG-kortti, joka ylittää miljoonan dollarin hintarajan.	ylittää miljoonan dollarin hintarajan	
lento	Mitä lennot kehittävät?	Puolustusvoimat tiedottaa, että torstaista alkaen suoritetaan valvontalentoja yhdessä kansainvälisten kumppanien kanssa. Ensimmäisessä lennossa ovat mukana suomalaiset ja yhdysvaltalaiset.  \n Puolustusvoimilta korostetaan, ettei Suomen sotilaallisessa turvallisuustilanteessa ole lähiaikoina tapahtunut muutoksia, vaan kumppanimaiden kanssa toteutettava lentotoiminta on suunnitelmallista ja osa normaalia yhteistyötä. \n – Lennot kehittävät Puolustusvoimien kansainvälistä yhteensopivuutta, parantavat yhteistä tilannetietoisuutta ja vahvistavat kansallista puolustusta. Lennot ovat osoitus molemminpuolisesta sitoutumisesta puolustusyhteistyön kehittämiseen, Puolustusvoimilta kerrotaan. \n Lentojen yksityiskohtia ei operaatioturvallisuussyistä voida kertoa. \n Lentoja tullaan suorittamaan Suomen ilmatilassa jatkossakin. Niissä hyödynnetään erityyppisiä ilma-aluksia, niin miehittämättömiä kuin miehitettyjäkin.	kansainvälistä yhteensopivuutta	iltalehti.fi/kotimaa/a/0e1e73b8-88ac-4be7-95ee-e8cf33b44da4
lento	Missä lentoja suoritetaan?	Puolustusvoimat tiedottaa, että torstaista alkaen suoritetaan valvontalentoja yhdessä kansainvälisten kumppanien kanssa. Ensimmäisessä lennossa ovat mukana suomalaiset ja yhdysvaltalaiset.  \n Puolustusvoimilta korostetaan, ettei Suomen sotilaallisessa turvallisuustilanteessa ole lähiaikoina tapahtunut muutoksia, vaan kumppanimaiden kanssa toteutettava lentotoiminta on suunnitelmallista ja osa normaalia yhteistyötä. \n – Lennot kehittävät Puolustusvoimien kansainvälistä yhteensopivuutta, parantavat yhteistä tilannetietoisuutta ja vahvistavat kansallista puolustusta. Lennot ovat osoitus molemminpuolisesta sitoutumisesta puolustusyhteistyön kehittämiseen, Puolustusvoimilta kerrotaan. \n Lentojen yksityiskohtia ei operaatioturvallisuussyistä voida kertoa. \n Lentoja tullaan suorittamaan Suomen ilmatilassa jatkossakin. Niissä hyödynnetään erityyppisiä ilma-aluksia, niin miehittämättömiä kuin miehitettyjäkin.	Suomen ilmatilassa	
Sähköä	Missä Lhyfella on pilottilaitos?	Lhyfen liiketoimintajohtaja Taia Kronborgin mukaan Suomi ja muut Pohjoismaat ovat kiinnostava markkina ranskalaisyhtiölle, koska tarjolla on paljon uusiutuvaa energiaa, sitä on rakenteilla lisää ja sähkön hinta on hyvä. \n ”Olemme iloisia saadessamme jalansijan markkinalle”, Kronborg sanoo. \n Lhyfea kiinnostavat Kronborgin mukaan myös Itämerelle suunnitellut merituulivoimahankkeet. Lhyfella on Ranskan länsirannikolla pilottilaitos, jossa yhtiö kokeilee vihreän vedyn tuottamista meriolosuhteissa. Laitos on ensimmäinen laatuaan maailmassa. Vastaavia yhtiö voisi rakentaa Itämerelle. \n ”Jos merituulivoima on kaukana rannikosta, vetyä on edullisempi kuljettaa voimalan luota rannikolle kuin siirtää sähköä voimalasta merenpohjan kaapeleita pitkin”, Kronborg sanoo.	Ranskan länsirannikolla	
sähköä	Miksi Pohjoismaat ovat kiinnostava markkina ranskalaisyhtiöille?	Lhyfen liiketoimintajohtaja Taia Kronborgin mukaan Suomi ja muut Pohjoismaat ovat kiinnostava markkina ranskalaisyhtiölle, koska tarjolla on paljon uusiutuvaa energiaa, sitä on rakenteilla lisää ja sähkön hinta on hyvä. \n ”Olemme iloisia saadessamme jalansijan markkinalle”, Kronborg sanoo. \n Lhyfea kiinnostavat Kronborgin mukaan myös Itämerelle suunnitellut merituulivoimahankkeet. Lhyfella on Ranskan länsirannikolla pilottilaitos, jossa yhtiö kokeilee vihreän vedyn tuottamista meriolosuhteissa. Laitos on ensimmäinen laatuaan maailmassa. Vastaavia yhtiö voisi rakentaa Itämerelle. \n ”Jos merituulivoima on kaukana rannikosta, vetyä on edullisempi kuljettaa voimalan luota rannikolle kuin siirtää sähköä voimalasta merenpohjan kaapeleita pitkin”, Kronborg sanoo.	tarjolla on paljon uusiutuvaa energiaa	
sähköä	Milloin on edullisempaa kuljettaa vetyä voimalan luota rannikolle?	Lhyfen liiketoimintajohtaja Taia Kronborgin mukaan Suomi ja muut Pohjoismaat ovat kiinnostava markkina ranskalaisyhtiölle, koska tarjolla on paljon uusiutuvaa energiaa, sitä on rakenteilla lisää ja sähkön hinta on hyvä. \n ”Olemme iloisia saadessamme jalansijan markkinalle”, Kronborg sanoo. \n Lhyfea kiinnostavat Kronborgin mukaan myös Itämerelle suunnitellut merituulivoimahankkeet. Lhyfella on Ranskan länsirannikolla pilottilaitos, jossa yhtiö kokeilee vihreän vedyn tuottamista meriolosuhteissa. Laitos on ensimmäinen laatuaan maailmassa. Vastaavia yhtiö voisi rakentaa Itämerelle. \n ”Jos merituulivoima on kaukana rannikosta, vetyä on edullisempi kuljettaa voimalan luota rannikolle kuin siirtää sähköä voimalasta merenpohjan kaapeleita pitkin”, Kronborg sanoo.	Jos merituulivoima on kaukana rannikosta	https://www.kauppalehti.fi/uutiset/suomeen-yli-puolen-miljardin-investointia-suunnitteleva-vety-yhtio-sai-ulkomailta-uuden-rahoittajan-ja-omistajan-tasta-syysta-suomi-kiinnostaa/7d69c2e3-9fe0-419a-a2dd-1f21e4458fdd
MPK	Miksi MPK-kivääri on päätetty asettaa käyttökieltoon?	Turvallisuuden varmistamiseksi MPK-kivääri on päätetty asettaa käyttökieltoon. Poliisin toteuttamissa testeissä todettiin 4.5.2022, että aseet eivät vastaa niille asetettuja laatu- ja turvallisuusvaatimuksia.  \n Olemme todenneet käyttökokemusten ja tehtyjen tutkimusten perusteella, että MPK-kiväärit eivät kaikilta osin täytä odotuksia. Emme voi tinkiä turvallisuudesta, korostaa MPK:n valmius- ja turvallisuuspäällikkö Juho Raulo. \n Tämänhetkisen tiedon perusteella vaikuttaa siltä, että ase on kulunut paljon oletettua nopeammin. Aserikkojen syytä on selvitetty yhdessä maahantuojan ja poliisihallituksen kanssa. Selvitystyö jatkuu.  \n On hyvä, että lain päivitys on käynnissä, jotta saisimme nopealla aikataululla käyttöön myös Puolustusvoimien aseita ja ampumatarvikkeita ammuntoihin, toteaa MPK:n toiminnanjohtaja Antti Lehtisalo. \n Korvaavan ampumatoiminnan suunnittelu on jo käynnissä. Selvitämme jäsenjärjestöjen kanssa niiden mahdollisuuksia tukea ammuntojen järjestämisessä. Piirien yksittäisten ammuntojen järjestämisestä kannattaa olla suoraan yhteydessä järjestävän piirin toimistoon.	aseet eivät vastaa niille asetettuja laatu- ja turvallisuusvaatimuksia	https://mpk.fi/ajankohtaista/mpk-kivaarilla-toteutettavat-ammunnat-joudutaan-perumaan/ 
MPK	Ketkä ovat selvittäneet aserikkojen syytä?	Turvallisuuden varmistamiseksi MPK-kivääri on päätetty asettaa käyttökieltoon. Poliisin toteuttamissa testeissä todettiin 4.5.2022, että aseet eivät vastaa niille asetettuja laatu- ja turvallisuusvaatimuksia.  \n Olemme todenneet käyttökokemusten ja tehtyjen tutkimusten perusteella, että MPK-kiväärit eivät kaikilta osin täytä odotuksia. Emme voi tinkiä turvallisuudesta, korostaa MPK:n valmius- ja turvallisuuspäällikkö Juho Raulo. \n Tämänhetkisen tiedon perusteella vaikuttaa siltä, että ase on kulunut paljon oletettua nopeammin. Aserikkojen syytä on selvitetty yhdessä maahantuojan ja poliisihallituksen kanssa. Selvitystyö jatkuu.  \n On hyvä, että lain päivitys on käynnissä, jotta saisimme nopealla aikataululla käyttöön myös Puolustusvoimien aseita ja ampumatarvikkeita ammuntoihin, toteaa MPK:n toiminnanjohtaja Antti Lehtisalo. \n Korvaavan ampumatoiminnan suunnittelu on jo käynnissä. Selvitämme jäsenjärjestöjen kanssa niiden mahdollisuuksia tukea ammuntojen järjestämisessä. Piirien yksittäisten ammuntojen järjestämisestä kannattaa olla suoraan yhteydessä järjestävän piirin toimistoon.	yhdessä maahantuojan ja poliisihallituksen kanssa	
MPK	Mitä aseille on tapahtunut?	Turvallisuuden varmistamiseksi MPK-kivääri on päätetty asettaa käyttökieltoon. Poliisin toteuttamissa testeissä todettiin 4.5.2022, että aseet eivät vastaa niille asetettuja laatu- ja turvallisuusvaatimuksia.  \n Olemme todenneet käyttökokemusten ja tehtyjen tutkimusten perusteella, että MPK-kiväärit eivät kaikilta osin täytä odotuksia. Emme voi tinkiä turvallisuudesta, korostaa MPK:n valmius- ja turvallisuuspäällikkö Juho Raulo. \n Tämänhetkisen tiedon perusteella vaikuttaa siltä, että ase on kulunut paljon oletettua nopeammin. Aserikkojen syytä on selvitetty yhdessä maahantuojan ja poliisihallituksen kanssa. Selvitystyö jatkuu.  \n On hyvä, että lain päivitys on käynnissä, jotta saisimme nopealla aikataululla käyttöön myös Puolustusvoimien aseita ja ampumatarvikkeita ammuntoihin, toteaa MPK:n toiminnanjohtaja Antti Lehtisalo. \n Korvaavan ampumatoiminnan suunnittelu on jo käynnissä. Selvitämme jäsenjärjestöjen kanssa niiden mahdollisuuksia tukea ammuntojen järjestämisessä. Piirien yksittäisten ammuntojen järjestämisestä kannattaa olla suoraan yhteydessä järjestävän piirin toimistoon.	ase on kulunut paljon oletettua nopeammin	
nato	Mitä Suomi ja Ruotsi lupasivat?	Natoon pyrkinyt Suomi teki turvallisuuspolitiikan nimissä sellaista, jota se ei olisi muutoin tehnyt.  \n Näin sanoo maailmanpolitiikan professori Teivo Teivainen. \n Yksi esimerkki on Teivaisen mukaan Suomen ja Ruotsin Turkin kanssa viime kesänä tekemä sopimus. Suomi ja Ruotsi lupasivat tukea Turkkia sen kansalliseen turvallisuuteen kohdistuvia uhkia vastaan. Maat lupasivat myös muun muassa olla tukematta tiettyjä kurdijärjestöjä. \n – Muotoilut olivat sellaisia, että jos laittaisi Turkin tilalle Kiinan tai Venäjän, sellaista ei julistettaisi autoritäärisen maan tai etenkään autoritääristä hyökkäyssotaa käyvän maan kohdalla, Helsingin yliopiston professori Teivainen sanoo. \n Turkki on rajoittanut kurdivähemmistönsä oikeuksia monin tavoin ja hyökännyt kurdeja vastaan myös Irakissa ja Syyriassa. \n Suomi taas joutui odottamaan pitkään Turkin hyväksyntää Nato-jäsenyydelleen. \n Kysyimme Teivaisen lisäksi ihmisoikeusjärjestö Amnestyn toiminnanjohtajalta Frank Johanssonilta ja Suomen Kurdiliiton puheenjohtajalta Welat Nehriltä, miltä Suomen toiminta Nato-hakuprosessin aika näytti ihmisoikeuksien näkökulmasta.	tukea Turkkia sen kansalliseen turvallisuuteen kohdistuvia uhkia vastaan	https://yle.fi/a/74-20024819
nato	Ketä on haastateltu uutista varten?	Natoon pyrkinyt Suomi teki turvallisuuspolitiikan nimissä sellaista, jota se ei olisi muutoin tehnyt.  \n Näin sanoo maailmanpolitiikan professori Teivo Teivainen. \n Yksi esimerkki on Teivaisen mukaan Suomen ja Ruotsin Turkin kanssa viime kesänä tekemä sopimus. Suomi ja Ruotsi lupasivat tukea Turkkia sen kansalliseen turvallisuuteen kohdistuvia uhkia vastaan. Maat lupasivat myös muun muassa olla tukematta tiettyjä kurdijärjestöjä. \n – Muotoilut olivat sellaisia, että jos laittaisi Turkin tilalle Kiinan tai Venäjän, sellaista ei julistettaisi autoritäärisen maan tai etenkään autoritääristä hyökkäyssotaa käyvän maan kohdalla, Helsingin yliopiston professori Teivainen sanoo. \n Turkki on rajoittanut kurdivähemmistönsä oikeuksia monin tavoin ja hyökännyt kurdeja vastaan myös Irakissa ja Syyriassa. \n Suomi taas joutui odottamaan pitkään Turkin hyväksyntää Nato-jäsenyydelleen. \n Kysyimme Teivaisen lisäksi ihmisoikeusjärjestö Amnestyn toiminnanjohtajalta Frank Johanssonilta ja Suomen Kurdiliiton puheenjohtajalta Welat Nehriltä, miltä Suomen toiminta Nato-hakuprosessin aika näytti ihmisoikeuksien näkökulmasta.	maailmanpolitiikan professori Teivo Teivainen	
nato	Milloin Suomi ja Ruotsi tekivät Turkin kanssa sopimuksen?	Natoon pyrkinyt Suomi teki turvallisuuspolitiikan nimissä sellaista, jota se ei olisi muutoin tehnyt.  \n Näin sanoo maailmanpolitiikan professori Teivo Teivainen. \n Yksi esimerkki on Teivaisen mukaan Suomen ja Ruotsin Turkin kanssa viime kesänä tekemä sopimus. Suomi ja Ruotsi lupasivat tukea Turkkia sen kansalliseen turvallisuuteen kohdistuvia uhkia vastaan. Maat lupasivat myös muun muassa olla tukematta tiettyjä kurdijärjestöjä. \n – Muotoilut olivat sellaisia, että jos laittaisi Turkin tilalle Kiinan tai Venäjän, sellaista ei julistettaisi autoritäärisen maan tai etenkään autoritääristä hyökkäyssotaa käyvän maan kohdalla, Helsingin yliopiston professori Teivainen sanoo. \n Turkki on rajoittanut kurdivähemmistönsä oikeuksia monin tavoin ja hyökännyt kurdeja vastaan myös Irakissa ja Syyriassa. \n Suomi taas joutui odottamaan pitkään Turkin hyväksyntää Nato-jäsenyydelleen. \n Kysyimme Teivaisen lisäksi ihmisoikeusjärjestö Amnestyn toiminnanjohtajalta Frank Johanssonilta ja Suomen Kurdiliiton puheenjohtajalta Welat Nehriltä, miltä Suomen toiminta Nato-hakuprosessin aika näytti ihmisoikeuksien näkökulmasta.	viime kesänä	
työttömyysturva	Mikä nopeuttaisi työllistymistä?	Tutkijat ovat yhtä mieltä siitä, että ansiosidonnaisen työttömyysturvan lyhentäminen nopeuttaisi työllistymistä ja lyhentäisi työttömyysjaksoja. Siitä on paljon tutkimusnäyttöä. \n  \n Näkemykset eroavat kuitenkin siinä, onko ansiosidonnaisen lyhennys tehokkain työllisyystoimi. Etlan Aki Kangasharjun mielestä on. \n – Ansiosidonnaisen leikkaaminen on yksi parhaista tavoista säästää julkista rahaa ilman, että se olisi kurjistava toimenpide, hän toteaa. \n Etla julkaisi viime kesänä oman ehdotuksensa(siirryt toiseen palveluun) ansiosidonnaisen uudistamiseksi. Siinä nykyinen ansiosidonnainen puolitettaisiin 200 päivään, ja osa säästyvästä rahasta ohjattaisiin pitkäaikaistyöttömien tukemiseen. \n – Liian moni jää roikkumaan ansiosidonnaiselle työttömyysturvalle, koska ei ole rahallisesti kannattavaa ottaa työtä vastaan. Tämä uudistus kannustaisi nimenomaan näitä ihmisiä työllistymään nopeammin, Kangasharju sanoo. \n Etlan arvion mukaan ansiosidonnaisen lyhentäminen näin lisäisi työllisyyttä noin 30 000–40 000 henkilöllä ja säästäisi puoli miljardia euroa rahaa.	työttömyysturvan lyhentäminen	https://yle.fi/a/74-20026306
työttömyysturva	Kuinka paljon rahaa säästettäisiin?	Tutkijat ovat yhtä mieltä siitä, että ansiosidonnaisen työttömyysturvan lyhentäminen nopeuttaisi työllistymistä ja lyhentäisi työttömyysjaksoja. Siitä on paljon tutkimusnäyttöä. \n  \n Näkemykset eroavat kuitenkin siinä, onko ansiosidonnaisen lyhennys tehokkain työllisyystoimi. Etlan Aki Kangasharjun mielestä on. \n – Ansiosidonnaisen leikkaaminen on yksi parhaista tavoista säästää julkista rahaa ilman, että se olisi kurjistava toimenpide, hän toteaa. \n Etla julkaisi viime kesänä oman ehdotuksensa(siirryt toiseen palveluun) ansiosidonnaisen uudistamiseksi. Siinä nykyinen ansiosidonnainen puolitettaisiin 200 päivään, ja osa säästyvästä rahasta ohjattaisiin pitkäaikaistyöttömien tukemiseen. \n – Liian moni jää roikkumaan ansiosidonnaiselle työttömyysturvalle, koska ei ole rahallisesti kannattavaa ottaa työtä vastaan. Tämä uudistus kannustaisi nimenomaan näitä ihmisiä työllistymään nopeammin, Kangasharju sanoo. \n Etlan arvion mukaan ansiosidonnaisen lyhentäminen näin lisäisi työllisyyttä noin 30 000–40 000 henkilöllä ja säästäisi puoli miljardia euroa rahaa.	puoli miljardia euroa	
työttömyysturva	Mihin säästyvää rahaa voitaisiin ohjata?	Tutkijat ovat yhtä mieltä siitä, että ansiosidonnaisen työttömyysturvan lyhentäminen nopeuttaisi työllistymistä ja lyhentäisi työttömyysjaksoja. Siitä on paljon tutkimusnäyttöä. \n  \n Näkemykset eroavat kuitenkin siinä, onko ansiosidonnaisen lyhennys tehokkain työllisyystoimi. Etlan Aki Kangasharjun mielestä on. \n – Ansiosidonnaisen leikkaaminen on yksi parhaista tavoista säästää julkista rahaa ilman, että se olisi kurjistava toimenpide, hän toteaa. \n Etla julkaisi viime kesänä oman ehdotuksensa(siirryt toiseen palveluun) ansiosidonnaisen uudistamiseksi. Siinä nykyinen ansiosidonnainen puolitettaisiin 200 päivään, ja osa säästyvästä rahasta ohjattaisiin pitkäaikaistyöttömien tukemiseen. \n – Liian moni jää roikkumaan ansiosidonnaiselle työttömyysturvalle, koska ei ole rahallisesti kannattavaa ottaa työtä vastaan. Tämä uudistus kannustaisi nimenomaan näitä ihmisiä työllistymään nopeammin, Kangasharju sanoo. \n Etlan arvion mukaan ansiosidonnaisen lyhentäminen näin lisäisi työllisyyttä noin 30 000–40 000 henkilöllä ja säästäisi puoli miljardia euroa rahaa.	pitkäaikaistyöttömien tukemiseen	
